id,customer_id,name
1,15,enable next-generation experiences
2,331,transform enterprise e-markets
3,517,cultivate revolutionary paradigms
4,626,synergize efficient experiences
5,79,embrace end-to-end models
6,590,redefine best-of-breed markets
7,890,e-enable real-time users
8,962,whiteboard value-added e-commerce
9,880,facilitate compelling mindshare
10,957,enable granular partnerships
11,744,disintermediate granular action-items
12,876,e-enable B2B eyeballs
13,94,re-intermediate compelling ROI
14,287,embrace impactful metrics
15,667,scale strategic models
16,942,exploit distributed communities
17,819,implement cross-platform ROI
18,107,facilitate vertical supply-chains
19,971,utilize 24/365 solutions
20,397,architect efficient deliverables
21,563,enhance collaborative communities
22,891,grow killer e-tailers
23,255,syndicate clicks-and-mortar e-tailers
24,627,brand global users
25,867,target interactive eyeballs
26,416,enhance value-added networks
27,411,strategize sticky deliverables
28,102,synthesize extensible technologies
29,640,exploit proactive networks
30,877,iterate end-to-end synergies
31,745,e-enable extensible markets
32,85,iterate virtual communities
33,545,visualize virtual experiences
34,307,unleash enterprise portals
35,959,aggregate extensible platforms
36,752,leverage proactive users
37,609,redefine cross-platform paradigms
38,750,disintermediate open-source methodologies
39,623,grow front-end architectures
40,582,scale value-added vortals
41,696,implement turn-key schemas
42,44,embrace mission-critical infrastructures
43,691,leverage vertical partnerships
44,29,transition clicks-and-mortar networks
45,131,leverage leading-edge infrastructures
46,258,incentivize transparent e-commerce
47,251,incentivize distributed eyeballs
48,318,seize mission-critical applications
49,725,exploit bleeding-edge experiences
50,979,visualize interactive e-tailers
51,236,engage holistic e-commerce
52,897,drive real-time e-business
53,29,utilize real-time synergies
54,555,redefine sticky content
55,947,engage clicks-and-mortar bandwidth
56,911,deliver vertical e-business
57,58,re-intermediate rich architectures
58,377,transform wireless systems
59,180,utilize collaborative technologies
60,248,seize visionary eyeballs
61,710,morph global functionalities
62,712,incentivize synergistic systems
63,216,innovate dynamic niches
64,623,mesh dynamic functionalities
65,631,repurpose cross-media eyeballs
66,429,incentivize virtual metrics
67,649,matrix holistic e-tailers
68,445,re-contextualize leading-edge models
69,506,enhance magnetic content
70,364,grow B2C action-items
71,650,transition front-end channels
72,271,benchmark extensible action-items
73,174,extend granular markets
74,722,leverage interactive bandwidth
75,684,revolutionize strategic applications
76,875,facilitate 24/365 eyeballs
77,686,implement global mindshare
78,100,aggregate ubiquitous technologies
79,4,grow killer solutions
80,682,optimize B2C e-business
81,512,whiteboard user-centric e-business
82,409,unleash bleeding-edge metrics
83,995,redefine dot-com synergies
84,285,transform virtual metrics
85,589,mesh strategic platforms
86,506,iterate value-added methodologies
87,720,productize customized platforms
88,853,evolve impactful content
89,77,e-enable compelling solutions
90,11,transition clicks-and-mortar channels
91,181,utilize global paradigms
92,810,seize proactive solutions
93,800,scale efficient schemas
94,942,target turn-key convergence
95,73,brand customized e-commerce
96,793,harness viral e-tailers
97,44,enhance compelling paradigms
98,690,synergize scalable portals
99,849,expedite visionary portals
100,346,unleash B2C architectures
101,128,extend B2B eyeballs
102,302,repurpose compelling info-mediaries
